c A little graph based on capitals of US states.
c There are edges between neighboring states.
c
p sp 50 220
c
a 1 2 153
a 2 1 153
a 1 3 126
a 3 1 126
a 1 4 198
a 4 1 198
a 1 5 230
a 5 1 230
a 6 7 791
a 7 6 791
a 8 9 509
a 9 8 509
a 8 10 328
a 10 8 328
a 8 11 754
a 11 8 754
a 8 12 434
a 12 8 434
a 13 14 263
a 14 13 263
a 13 4 179
a 4 13 179
a 13 15 231
a 15 13 231
a 13 16 257
a 16 13 257
a 13 5 285
a 5 13 285
a 13 11 380
a 11 13 380
a 17 8 543
a 8 17 543
a 17 18 2481
a 18 17 2481
a 17 19 86
a 19 17 86
a 17 20 389
a 20 17 389
a 9 21 427
a 21 9 427
a 9 22 379
a 22 9 379
a 9 10 250
a 10 9 250
a 9 16 434
a 16 9 434
a 9 12 328
a 12 9 328
a 9 23 82
a 23 9 82
a 24 25 81
a 25 24 81
a 24 26 73
a 26 24 73
a 24 27 56
a 27 24 56
a 28 29 47
a 29 28 47
a 28 30 72
a 30 28 72
a 28 31 92
a 31 28 92
a 2 3 198
a 3 2 198
a 2 4 323
a 4 2 323
a 3 32 309
a 32 3 309
a 3 33 176
a 33 3 176
a 3 5 185
a 5 3 185
a 34 35 252
a 35 34 252
a 34 19 310
a 19 34 310
a 34 20 302
a 20 34 302
a 34 12 255
a 12 34 255
a 34 7 348
a 7 34 348
a 34 23 527
a 23 34 527
a 36 37 161
a 37 36 161
a 36 38 210
a 38 36 210
a 36 39 242
a 39 36 242
a 36 15 138
a 15 36 138
a 36 40 196
a 40 36 196
a 37 39 112
a 39 37 112
a 37 41 190
a 41 37 190
a 37 42 145
a 42 37 145
a 38 43 197
a 43 38 197
a 38 15 191
a 15 38 191
a 38 22 145
a 22 38 145
a 38 44 338
a 44 38 338
a 38 40 206
a 40 38 206
a 21 15 166
a 15 21 166
a 21 22 116
a 22 21 116
a 21 16 231
a 16 21 231
a 39 15 345
a 15 39 345
a 39 42 138
a 42 39 138
a 39 5 151
a 5 39 151
a 39 45 352
a 45 39 352
a 39 46 152
a 46 39 152
a 14 4 121
a 4 14 121
a 14 11 342
a 11 14 342
a 47 48 110
a 48 47 110
a 29 31 80
a 31 29 80
a 29 45 97
a 45 29 97
a 29 46 243
a 46 29 243
a 25 48 58
a 48 25 58
a 25 26 124
a 26 25 124
a 25 27 35
a 27 25 35
a 25 49 134
a 49 25 134
a 41 42 177
a 42 41 177
a 41 40 214
a 40 41 214
a 43 50 345
a 50 43 345
a 43 44 314
a 44 43 314
a 43 40 188
a 40 43 188
a 4 5 286
a 5 4 286
a 15 22 247
a 22 15 247
a 15 16 315
a 16 15 315
a 15 5 295
a 5 15 295
a 35 50 462
a 50 35 462
a 35 44 509
a 44 35 509
a 35 23 452
a 23 35 452
a 22 44 266
a 44 22 266
a 22 23 367
a 23 22 367
a 19 20 376
a 20 19 376
a 19 12 372
a 12 19 372
a 48 49 76
a 49 48 76
a 30 26 152
a 26 30 152
a 30 31 97
a 31 30 97
a 10 16 412
a 16 10 412
a 10 11 523
a 11 10 523
a 10 12 415
a 12 10 415
a 26 31 199
a 31 26 199
a 26 49 109
a 49 26 109
a 32 33 153
a 33 32 153
a 32 5 394
a 5 32 394
a 32 45 117
a 45 32 117
a 50 44 147
a 44 50 147
a 42 31 280
a 31 42 280
a 42 46 116
a 46 42 116
a 16 11 309
a 11 16 309
a 20 7 127
a 7 20 127
a 31 46 248
a 46 31 248
a 33 5 316
a 5 33 316
a 44 23 276
a 23 44 276
a 12 23 324
a 23 12 324
a 45 46 202
a 46 45 202
